Приватні перекази,Прямі інвестиції (сальдо),Офіційний курс гривні додолара на останній день місяця,Офіційний курс гривні до євро на останній день місяця,Індекс реальної зарплати до відповідного місяця попереднього року ,"Витрати на особисті потреби, Америка","Кількість нових випадків COVID-19, Китай","Кількість нових випадків COVID-19, Україна","Кількість нових випадків COVID-19, Польша","Кількість нових випадків COVID-19, Німеччина",ВВП Китай,ВВП Польша,ВВП Німеччина,Експорт товарів,Імпорт товарів
948,466,24.9196,27.4751,112.5,14769.9,9242,0,0,0,98.13336072,100.3521258,99.65650868,3793,3982
972,382,24.561,26.9299,112.2,14785.1,11330,0,0,18,85.65112313,100.2444525,99.62380549,3602,4409
946,712,28.0615,30.9617,109.3,13762.2,15974,645,2311,561,97.82264568,98.44127569,94.71989593,3863,4606
850,-316,26.9714,29.2424,99.6,12021.8,18783,9761,10566,588179,97.79078973,93.38600414,91.48709573,3621,3317
889,-445,26.9059,29.6234,101.4,13058.1,22289,13266,10909,3942925,97.84911422,90.72316394,89.84062956,3186,3261
954,-491,26.6922,29.95,104.8,13889.3,25352,21582,10855.431,20401,97.99215519,92.47883112,91.87086462,3038,3836
1036,-59,27.6913,32.547,105.1,14129.2,27694,26150,11295,5670762,98.21236339,94.22827258,93.90342691,3354,4330
1015,54,27.4759,32.7334,106,14270.5,28584,52728,21684,6265079,98.50363114,95.96828295,95.93313552,3868,4292
1026,102,28.2989,33.1309,109.7,14481.7,30711,90314,24142,7024733,98.86015636,95.57164105,96.05107019,3776,4467
1085,-120,28.4383,33.2984,110.6,14546,31669,184884,271217,8023521,99.27562458,95.17682602,96.16602843,4225,4744
1066,-102,28.4681,33.9596,108.1,14467.3,32526,353013,628080,11653042,99.74147551,94.78312392,96.2785989,4315,5076
1193,-66,28.2746,34.7396,110.1,14389.5,32459,334654,304067,24564361,100.2418465,94.87445817,95.70956117,4502,5601
934,-652,28.1929,34.1035,108.3,14857.9,28094,174549,218507,44110281,100.7494236,94.96334576,95.14342264,3560,3983
1044,-109,27.9301,34.1459,107.6,14699.6,40141,133982,193601,62555325,101.2212041,95.04998413,94.58217433,4097,4632
1199,-697,27.8852,32.7233,109.5,15458.9,42612,329501,614731,65660655,101.61637,95.20208809,94.96932202,4827,5767
1157,-629,27.75,33.6427,119.7,15618.7,40938,399041,614731,81244650,101.9154855,95.35187913,95.35625099,4909,5057
1106,-359,27.5004,33.3896,116.8,15624.4,39893,136829,80141,93513080,102.1154788,95.49950054,95.74234254,5158,4981
1190,-349,27.1763,32.3018,112.9,15802,38289,39202,7629,111203900,102.2241905,95.55531156,96.10772774,4905,5231
1213,-617,26.8867,31.9239,110.2,15804.8,37361,33308,3027,111665218,102.2567021,95.59952244,96.47372081,5186,5973
1231,-744,26.8601,31.6963,110.9,15975.8,34756,49360,5731,119307341,102.2327985,95.64328954,96.83932007,5931,6112
1266,-685,26.576,30.981,106.9,16076.4,32693,148737,18401,116353133,102.1735035,95.70112356,97.96475431,5993,6408
