Ukraine Imports By Country,Value1,Value
China,8.25,8250000000
Germany,5.33,5330000000
Russia,4.55,4550000000
Poland,4.08,4080000000
United States,2.95,2950000000
Belarus,2.87,2870000000
Turkey,2.41,2410000000
Italy,2.12,2120000000
France,1.48,1480000000
Hungary,1.2,1200000000
Japan,1.08,1080000000
Czech Republic,969.21,969210000
Switzerland,922.78,922780000
Slovakia,817.77,817770000
Lithuania,813.1,813100000
United ingdom,801.14,801140000
Netherlands,739.32,739320000
Spain,734.89,734890000
India,720.21,720210000
Romania,683.82,683820000
Austria,567.76,567760000
Belgium,525.57,525570000
South orea,497.09,497090000
Vietnam,459.83,459830000
Sweden,427.9,427900000
Kazakhstan,425.58,425580000
Azerbaijan,318.5,318500000
Greece,316.83,316830000
Bulgaria,289.87,289870000
Norway,287.86,287860000
Indonesia,277.99,277990000
Brazil,265.57,265570000
Slovenia,253.4,253400000
Finland,249.01,249010000
alaysia,231.83,231830000
exico,221.83,221830000
Denmark,220.88,220880000
Ireland,208.96,208960000
Canada,201.3,201300000
Thailand,194.05,194050000
Estonia,175.95,175950000
Israel,170.6,170600000
Serbia,165.14,165140000
Latvia,158.9,158900000
Guinea,144.18,144180000
Uzbekistan,136.75,136750000
Georgia,135.69,135690000
Ghana,133.56,133560000
Ecuador,120.44,120440000
Saudi Arabia,101.78,101780000
Others,1,1969998994
